Inflammatory response ,Epithelial-mesenchymal transition,Apoptosis,Cellular senescence,Autophagy,Oxidative stress
,,,,,GLT8D1
,,,,,GLUD1
,,,,,GLUD2
,,,,,GLUL
,,,,,GNAS
,,,,,GP1BA
,,,,,GPT
,,,,,GPX1
,,,,,GPX2
,,,,,GPX3
,,,,,GPX4
,,,,,GPX5
,,,,,GPX7
,,,,,GPX8
,,,,,GRB2
,,,,,GRIA1
,,,,,GRIN1
,,,,,GRIN2A
,,,,,GRIN2B
,,,,,GRM1
,,,,,GRM5
,,,,,GRN
,,,,,GSK3B
,,,,,GSN
,,,,,GSR
,,,,,GSS
,,,,,GSTA1
,,,,,GSTA2
,,,,,GSTA4
,,,,,GSTM1
,,,,,GSTM2
,,,,,GSTM3
,,,,,GSTM4
,,,,,GSTM5
,,,,,GSTO1
,,,,,GSTO2
,,,,,GSTP1
,,,,,GSTT1
,,,,,GTPBP3
,,,,,GYG1
,,,,,GZMB
,,,,,H19
,,,,,H2AC18
,,,,,H2AX
,,,,,H2BC21
,,,,,H3C14
,,,,,H4-16
,,,,,H6PD
,,,,,HADH
,,,,,HADHA
,,,,,HADHB
,,,,,HAMP
,,,,,HAO1
,,,,,HBA1
,,,,,HBB
,,,,,HBEGF
,,,,,HBG2
,,,,,HCRT
,,,,,HDAC1
,,,,,HDAC2
,,,,,HDAC9
,,,,,HERPUD1
,,,,,HFE
,,,,,HGF
,,,,,HIF1A
,,,,,HK1
,,,,,HK2
,,,,,HLA-A
,,,,,HLA-B
,,,,,HLA-DRA
,,,,,HLA-DRB1
,,,,,HMGB1
,,,,,HMGCL
,,,,,HMGCR
,,,,,HMOX1
,,,,,HMOX2
,,,,,HNF1A
,,,,,HNF4A
,,,,,HNRNPA1
,,,,,HP
,,,,,HPRT1
,,,,,HPSE
,,,,,HPX
,,,,,HRAS
,,,,,HRH1
,,,,,HRH2
,,,,,HSD17B10
,,,,,HSD17B4
,,,,,HSF1
,,,,,HSP90AA1
,,,,,HSP90AB1
,,,,,HSP90B1
,,,,,HSPA14
,,,,,HSPA1A
,,,,,HSPA1B
,,,,,HSPA4
,,,,,HSPA5
,,,,,HSPA6
,,,,,HSPA8
,,,,,HSPA9
,,,,,HSPB1
,,,,,HSPB2
,,,,,HSPD1
,,,,,HSPG2
,,,,,HTR1A
,,,,,HTR2A
,,,,,HTR2C
,,,,,HTR3A
,,,,,HTRA2
,,,,,HTT
,,,,,HYOU1
,,,,,IAPP
,,,,,ICAM1
,,,,,IDH1
,,,,,IDH2
,,,,,IDO1
,,,,,IFNA1
,,,,,IFNAR1
,,,,,IFNB1
,,,,,IFNG
,,,,,IGF1
,,,,,IGF1R
,,,,,IGF2
,,,,,IGF2BP1
,,,,,IGF2BP2
,,,,,IGF2R
,,,,,IKBKB
,,,,,IKBKG
,,,,,IL10
,,,,,IL11
,,,,,IL12B
,,,,,IL13
,,,,,IL15
,,,,,IL16
,,,,,IL17A
,,,,,IL18
,,,,,IL1A
,,,,,IL1B
,,,,,IL1R1
,,,,,IL1RAPL2
,,,,,IL1RN
,,,,,IL2
,,,,,IL23A
,,,,,IL2RA
,,,,,IL2RB
,,,,,IL3
,,,,,IL33
,,,,,IL4
,,,,,IL5
,,,,,IL6
,,,,,IL6R
,,,,,INS
,,,,,INSR
,,,,,IRAK1
,,,,,IREB2
,,,,,IRF1
,,,,,IRF5
,,,,,IRS1
,,,,,ISCU
,,,,,ISG15
,,,,,ITGA2
,,,,,ITGAL
,,,,,ITGAM
,,,,,ITGB1
,,,,,ITGB2
,,,,,ITGB3
,,,,,ITIH4
,,,,,ITPR1
,,,,,JAK1
,,,,,JAK2
,,,,,JAZF1
,,,,,JUN
,,,,,JUNB
,,,,,KCNE1
,,,,,KCNE2
,,,,,KCNH2
,,,,,KCNJ2
,,,,,KCNJ5
,,,,,KCNMA1
,,,,,KCNQ1
,,,,,KCNT1
,,,,,KDR
,,,,,KEAP1
,,,,,KIAA0319L
,,,,,KIF1B
,,,,,KIT
,,,,,KL
,,,,,KLF2
,,,,,KLF4
,,,,,KLRK1
,,,,,KNG1
,,,,,KRAS
,,,,,KRIT1
,,,,,KRT18
,,,,,KRT8
,,,,,LAMP1
,,,,,LAMP2
,,,,,LANCL1
,,,,,LBR
,,,,,LCAT
,,,,,LCK
,,,,,LCN2
,,,,,LDLR
,,,,,LEP
,,,,,LEPQTL1
,,,,,LGALS1
,,,,,LGALS3
,,,,,LIN28B
,,,,,LMNA
,,,,,LOC110806262
,,,,,LOC110973015
,,,,,LOC111365141
,,,,,LONP1
,,,,,LOX
,,,,,LPA
,,,,,LPL
,,,,,LPO
,,,,,LRPPRC
,,,,,LRRK2
,,,,,LTA
,,,,,LTF
,,,,,LYN
,,,,,LYRM4
,,,,,MALAT1
,,,,,MAOA
,,,,,MAOB
,,,,,MAP2
,,,,,MAP2K1
,,,,,MAP2K3
,,,,,MAP2K4
,,,,,MAP2K6
,,,,,MAP2K7
,,,,,MAP3K1
,,,,,MAP3K11
,,,,,MAP3K5
,,,,,MAP3K7
,,,,,MAPK1
,,,,,MAPK10
,,,,,MAPK11
,,,,,MAPK12
,,,,,MAPK13
,,,,,MAPK14
,,,,,MAPK3
,,,,,MAPK7
,,,,,MAPK8
,,,,,MAPK8IP1
,,,,,MAPK9
,,,,,MAPKAPK2
,,,,,MAPKAPK3
,,,,,MAPKAPK5
,,,,,MAPT
,,,,,MATR3
,,,,,MB
,,,,,MBL2
,,,,,MBP
,,,,,MCL1
,,,,,MCU
,,,,,MDH1
,,,,,MDH2
,,,,,MDM2
,,,,,MECOM
,,,,,MECP2
,,,,,MET
,,,,,MFN2
,,,,,MGMT
,,,,,MGST1
,,,,,MICB
,,,,,MIF
,,,,,MIR106B
,,,,,MIR107
,,,,,MIR122
,,,,,MIR125A
,,,,,MIR126
,,,,,MIR132
,,,,,MIR133B
,,,,,MIR142
,,,,,MIR143
,,,,,MIR144
,,,,,MIR145
,,,,,MIR146A
,,,,,MIR148B
,,,,,MIR152
,,,,,MIR155
,,,,,MIR17
,,,,,MIR181A1
,,,,,MIR181A2
,,,,,MIR181C
,,,,,MIR184
,,,,,MIR185
,,,,,MIR195
,,,,,MIR199A1
,,,,,MIR19A
,,,,,MIR200B
,,,,,MIR200C
,,,,,MIR203A
,,,,,MIR20A
,,,,,MIR21
,,,,,MIR210
,,,,,MIR214
,,,,,MIR22
,,,,,MIR221
,,,,,MIR222
,,,,,MIR223
,,,,,MIR23A
,,,,,MIR23B
,,,,,MIR24-1
,,,,,MIR24-2
,,,,,MIR25
,,,,,MIR27A
,,,,,MIR29A
,,,,,MIR34A
,,,,,MIR34C
,,,,,MIR433
,,,,,MIR9-1
,,,,,MIR92A1
,,,,,MIR93
,,,,,MKI67
,,,,,MLYCD
,,,,,MMD
,,,,,MME
,,,,,MMP1
,,,,,MMP13
,,,,,MMP14
,,,,,MMP2
,,,,,MMP3
,,,,,MMP7
,,,,,MMP8
,,,,,MMP9
,,,,,MPO
,,,,,MRAP
,,,,,MRPL44
,,,,,MRPS14
,,,,,MRPS16
,,,,,MRPS22
,,,,,MRPS34
,,,,,MSH2
,,,,,MSN
,,,,,MSR1
,,,,,MSRA
,,,,,MSRB1
,,,,,MSRB2
,,,,,MSRB3
,,,,,MT3
,,,,,MTA1
,,,,,MT-ATP6
,,,,,MT-CO1
,,,,,MT-CO2
,,,,,MT-CO3
,,,,,MT-CYB
,,,,,MTFMT
,,,,,MTHFR
,,,,,MT-ND1
,,,,,MT-ND2
,,,,,MT-ND3
,,,,,MT-ND4
,,,,,MT-ND5
,,,,,MT-ND6
,,,,,MTO1
,,,,,MTOR
,,,,,MTR
,,,,,MT-TK
,,,,,MT-TL1
,,,,,MTTP
,,,,,MUC1
,,,,,MUC5AC
,,,,,MUTYH
,,,,,MYC
,,,,,MYD88
,,,,,MYH6
,,,,,MYH7
,,,,,MYLK
,,,,,MYO9A
,,,,,NAGS
,,,,,NAMPT
,,,,,NAT2
,,,,,NCAM1
,,,,,NCF1
,,,,,NCF2
,,,,,NCF4
,,,,,NDRG1
,,,,,NDUFA1
,,,,,NDUFA10
,,,,,NDUFA12
,,,,,NDUFA13
,,,,,NDUFA6
,,,,,NDUFA9
,,,,,NDUFAF2
,,,,,NDUFB8
,,,,,NDUFB9
,,,,,NDUFS1
,,,,,NDUFS2
,,,,,NDUFS3
,,,,,NDUFS4
,,,,,NDUFS6
,,,,,NDUFS7
,,,,,NDUFS8
,,,,,NDUFV1
,,,,,NDUFV2
,,,,,NEAT1
,,,,,NEDD8
,,,,,NEFH
,,,,,NEFL
,,,,,NEIL1
,,,,,NEK1
,,,,,NES
,,,,,NFE2L1
,,,,,NFE2L2
,,,,,NFKB1
,,,,,NFKBIA
,,,,,NFU1
,,,,,NGB
,,,,,NGF
,,,,,NGFR
,,,,,NLRP1
,,,,,NLRP3
,,,,,NME1
,,,,,NOD2
,,,,,NOL3
,,,,,NOS1
,,,,,NOS1AP
,,,,,NOS2
,,,,,NOS3
,,,,,NOSIP
,,,,,NOSTRIN
,,,,,NOTCH1
,,,,,NOX1
,,,,,NOX4
,,,,,NPM1
,,,,,NPPA
,,,,,NPPB
,,,,,NPY
,,,,,NQO1
,,,,,NQO2
,,,,,NR1H2
,,,,,NR1H4
,,,,,NR2C2
,,,,,NR3C1
,,,,,NR3C2
,,,,,NR4A2
,,,,,NRAS
,,,,,NRF1
,,,,,NRG1
,,,,,NTF3
,,,,,NTF4
,,,,,NTHL1
,,,,,NTRK1
,,,,,NTRK2
,,,,,NTS
,,,,,NUDT1
,,,,,ODC1
,,,,,OGDH
,,,,,OGG1
,,,,,OLR1
,,,,,OPA1
,,,,,OPRD1
,,,,,OPRM1
,,,,,OPTN
,,,,,OSER1
,,,,,OSGIN1
,,,,,OSGIN2
,,,,,OSM
,,,,,OTC
,,,,,OXA1L
,,,,,OXR1
,,,,,OXSR1
,,,,,OXT
,,,,,OXTR
,,,,,P4HB
,,,,,PAH
,,,,,PARK10
,,,,,PARK12
,,,,,PARK16
,,,,,PARK21
,,,,,PARK7
,,,,,PARP1
,,,,,PC
,,,,,PCNA
,,,,,PDCD1
,,,,,PDE4A
,,,,,PDE5A
,,,,,PDGFB
,,,,,PDGFRB
,,,,,PDGFRL
,,,,,PDHA1
,,,,,PDIA2
,,,,,PDIA3
,,,,,PDK1
,,,,,PDLIM4
,,,,,PDYN
,,,,,PECAM1
,,,,,PENK
,,,,,PEPD
,,,,,PEX11B
,,,,,PEX12
,,,,,PEX5
,,,,,PF4
,,,,,PFKM
,,,,,PFN1
,,,,,PGAM5
,,,,,PGD
,,,,,PGK1
,,,,,PHYH
,,,,,PIGA
,,,,,PIK3C2A
,,,,,PIK3C3
,,,,,PIK3CA
,,,,,PIK3CB
,,,,,PIK3CG
,,,,,PIK3R1
,,,,,PIK3R2
,,,,,PINK1
,,,,,PKD1
,,,,,PKLR
,,,,,PKM
,,,,,PKP2
,,,,,PLA2G2A
,,,,,PLA2G4A
,,,,,PLA2G6
,,,,,PLA2G7
,,,,,PLAT
,,,,,PLAU
,,,,,PLAUR
,,,,,PLCB1
,,,,,PLCG1
,,,,,PLD1
,,,,,PLG
,,,,,PML
,,,,,PNKP
,,,,,PNPT1
,,,,,POLG
,,,,,POMC
,,,,,PON1
,,,,,PON2
,,,,,PON3
,,,,,POR
,,,,,POU5F1
,,,,,PPARA
,,,,,PPARD
,,,,,PPARG
,,,,,PPARGC1A
,,,,,PPIA
,,,,,PPIF
,,,,,PPIG
,,,,,PPOX
,,,,,PPP1R15A
,,,,,PPP3CA
,,,,,PPP5C
,,,,,PRDM10
,,,,,PRDX1
,,,,,PRDX2
,,,,,PRDX3
,,,,,PRDX4
,,,,,PRDX5
,,,,,PRDX6
,,,,,PRKAA1
,,,,,PRKAA2
,,,,,PRKAB1
,,,,,PRKCA
,,,,,PRKCB
,,,,,PRKCD
,,,,,PRKCG
,,,,,PRKCZ
,,,,,PRKD1
,,,,,PRKD2
,,,,,PRKG1
,,,,,PRKN
,,,,,PRL
,,,,,PRNP
,,,,,PRODH
,,,,,PRPH
,,,,,PSEN1
,,,,,PSEN2
,,,,,PSIP1
,,,,,PTEN
,,,,,PTGIS
,,,,,PTGS1
,,,,,PTGS2
,,,,,PTK2
,,,,,PTK2B
,,,,,PTPA
,,,,,PTPN1
,,,,,PTPN11
,,,,,PTPN22
,,,,,PTPN3
,,,,,PTPRC
,,,,,PTS
,,,,,PTX3
,,,,,PVALB
,,,,,PXN
,,,,,PYCR1
,,,,,PYCR2
,,,,,PYGM
,,,,,QDPR
,,,,,RAB5A
,,,,,RAC1
,,,,,RAC2
,,,,,RAD51
,,,,,RAF1
,,,,,RAG2
,,,,,RARA
,,,,,RB1
,,,,,RBP4
,,,,,RCAN1
,,,,,RELA
,,,,,REN
,,,,,REST
,,,,,RETN
,,,,,RHOA
,,,,,RHOD
,,,,,RNASE3
,,,,,RNF112
,,,,,ROCK1
,,,,,RORA
,,,,,RPA1
,,,,,RPS27A
,,,,,RPS6KA5
,,,,,RPS6KB1
,,,,,RPTOR
,,,,,RRM2B
,,,,,RTN4
,,,,,RUNX2
,,,,,RXRA
,,,,,RYR1
,,,,,RYR2
,,,,,RYR3
,,,,,S100A8
,,,,,S100A9
,,,,,S100B
,,,,,SCARA3
,,,,,SCARB1
,,,,,SCGB1A1
,,,,,SCN2A
,,,,,SCN4A
,,,,,SCN4B
,,,,,SCN5A
,,,,,SCO1
,,,,,SCO2
,,,,,SCP2
,,,,,SDC1
,,,,,SDHA
,,,,,SDHAF1
,,,,,SDHAF2
,,,,,SDHB
,,,,,SDHC
,,,,,SDHD
,,,,,SELE
,,,,,SELENOK
,,,,,SELENON
,,,,,SELENOP
,,,,,SELENOT
,,,,,SELL
,,,,,SELP
,,,,,SENP3
,,,,,SERPINA1
,,,,,SERPINA3
,,,,,SERPINE1
,,,,,SERPINF1
,,,,,SERPINH1
,,,,,SESN1
,,,,,SESN2
,,,,,SET
,,,,,SETD2
,,,,,SETX
,,,,,SFTPB
,,,,,SFTPD
,,,,,SFXN4
,,,,,SGCB
,,,,,SGK1
,,,,,SHC1
,,,,,SIAH1
,,,,,SIGMAR1
,,,,,SIL1
,,,,,SIRT1
,,,,,SIRT2
,,,,,SIRT3
,,,,,SIRT6
,,,,,SLC11A2
,,,,,SLC17A5
,,,,,SLC18A2
,,,,,SLC18A3
,,,,,SLC19A3
,,,,,SLC1A1
,,,,,SLC1A2
,,,,,SLC1A3
,,,,,SLC22A5
,,,,,SLC25A1
,,,,,SLC25A13
,,,,,SLC25A20
,,,,,SLC25A27
,,,,,SLC25A3
,,,,,SLC25A4
,,,,,SLC2A1
,,,,,SLC2A4
,,,,,SLC40A1
,,,,,SLC4A1
,,,,,SLC5A7
,,,,,SLC6A2
,,,,,SLC6A3
,,,,,SLC6A4
,,,,,SLC7A1
,,,,,SLC7A11
,,,,,SLC8A1
,,,,,SLPI
,,,,,SMAD2
,,,,,SMAD3
,,,,,SMAD4
,,,,,SMARCA4
,,,,,SMPD1
,,,,,SNAP25
,,,,,SNCA
,,,,,SNCAIP
,,,,,SNCB
,,,,,SNTA1
,,,,,SOCS1
,,,,,SOCS3
,,,,,SOD1
,,,,,SOD2
,,,,,SOD3
,,,,,SORCS2
,,,,,SORD
,,,,,SORL1
,,,,,SOX2
,,,,,SP1
,,,,,SPARC
,,,,,SPP1
,,,,,SPR
,,,,,SQSTM1
,,,,,SRC
,,,,,SREBF1
,,,,,SRF
,,,,,SRXN1
,,,,,SST
,,,,,STAT1
,,,,,STAT3
,,,,,STAT4
,,,,,STIP1
,,,,,STK11
,,,,,STK24
,,,,,STK25
,,,,,STK39
,,,,,STK4
,,,,,STUB1
,,,,,SULT1A3
,,,,,SUMO1
,,,,,SUMO2
,,,,,SUOX
,,,,,SYK
,,,,,SYP
,,,,,TAC1
,,,,,TACO1
,,,,,TACR1
,,,,,TAF15
,,,,,TALDO1
,,,,,TARDBP
,,,,,TARS2
,,,,,TAT
,,,,,TAZ
,,,,,TBK1
,,,,,TBP
,,,,,TCF7L2
,,,,,TECRL
,,,,,TEK
,,,,,TERT
,,,,,TF
,,,,,TFAM
,,,,,TFEB
,,,,,TFRC
,,,,,TGFA
,,,,,TGFB1
,,,,,TGFB2
,,,,,TGFB3
,,,,,TGFBR1
,,,,,TGFBR2
,,,,,TGM2
,,,,,TH
,,,,,THBD
,,,,,THBS1
,,,,,TIA1
,,,,,TIMP1
,,,,,TIMP2
,,,,,TJP1
,,,,,TLR2
,,,,,TLR3
,,,,,TLR4
,,,,,TLR5
,,,,,TLR6
,,,,,TLR7
,,,,,TLR8
,,,,,TLR9
,,,,,TMEM161A
,,,,,TNF
,,,,,TNFAIP3
,,,,,TNFRSF10A
,,,,,TNFRSF10B
,,,,,TNFRSF11B
,,,,,TNFRSF1A
,,,,,TNFRSF1B
,,,,,TNFSF10
,,,,,TNFSF11
,,,,,TNFSF4
,,,,,TNIP1
,,,,,TOP1
,,,,,TOR1A
,,,,,TP53
,,,,,TP53INP1
,,,,,TP73
,,,,,TPH1
,,,,,TPI1
,,,,,TPK1
,,,,,TPM1
,,,,,TPO
,,,,,TPPP3
,,,,,TPT1
,,,,,TRAF2
,,,,,TRAP1
,,,,,TRDN
,,,,,TREM2
,,,,,TREX1
,,,,,TRIM21
,,,,,TRMT10C
,,,,,TRPA1
,,,,,TRPM2
,,,,,TRPV1
,,,,,TRPV4
,,,,,TSC1
,,,,,TSC2
,,,,,TSFM
,,,,,TSPO
,,,,,TTN
,,,,,TTPA
,,,,,TTR
,,,,,TUBA1B
,,,,,TUFM
,,,,,TXN
,,,,,TXN2
,,,,,TXNIP
,,,,,TXNRD1
,,,,,TXNRD2
,,,,,TYK2
,,,,,TYMP
,,,,,TYR
,,,,,TYRP1
,,,,,UBC
,,,,,UBE2D2
,,,,,UBE2L3
,,,,,UBQLN1
,,,,,UBQLN2
,,,,,UBQLN4
,,,,,UCHL1
,,,,,UCN
,,,,,UCN2
,,,,,UCP1
,,,,,UCP2
,,,,,UCP3
,,,,,UGT1A1
,,,,,UNC13A
,,,,,UNG
,,,,,UTRN
,,,,,VAPB
,,,,,VARS2
,,,,,VASP
,,,,,VCAM1
,,,,,VCL
,,,,,VCP
,,,,,VDAC1
,,,,,VDR
,,,,,VEGFA
,,,,,VEGFC
,,,,,VHL
,,,,,VIM
,,,,,VIP
,,,,,VIPR1
,,,,,VKORC1L1
,,,,,VNN1
,,,,,VPS13C
,,,,,VTN
,,,,,VWF
,,,,,WRN
,,,,,XBP1
,,,,,XDH
,,,,,XIAP
,,,,,XRCC1
,,,,,XRCC5
,,,,,XRCC6
,,,,,YAP1
,,,,,YBX1
,,,,,ZC3H12A
,,,,,ZFAND1
